Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/29/2025,12/31/2025,GESPARC /TOUR FRESK,Travel,Sale,-39.59,
12/30/2025,12/31/2025,LA CORDEE,Shopping,Sale,-36.14,
12/29/2025,12/31/2025,LA TABLE DE JO,Food & Drink,Sale,-61.78,
12/29/2025,12/30/2025,ULTRAMAR #26347,Gas,Sale,-48.27,
12/28/2025,12/30/2025,CIEL! BISTRO-BAR,Food & Drink,Sale,-107.35,
12/25/2025,12/30/2025,THE INN,Food & Drink,Sale,-128.61,
12/26/2025,12/28/2025,NOCTEM ARTISANS BRASSEURS,Food & Drink,Sale,-86.09,
12/24/2025,12/25/2025,THE TILT'N DINER INC,Food & Drink,Sale,-22.14,
12/22/2025,12/23/2025,STOP &amp; SHOP 0053,Groceries,Sale,-36.89,
12/21/2025,12/22/2025,HMS Host International,Food & Drink,Sale,-16.02,
12/20/2025,12/21/2025,ALBERT HEIJN 1566,Groceries,Sale,-13.28,
12/19/2025,12/21/2025,Toujours,Food & Drink,Sale,-31.76,
12/19/2025,12/21/2025,TST* THE PLAYWRIGHT,Food & Drink,Sale,-192.83,
12/18/2025,12/19/2025,TST*GOURMET CATERERS - C,Food & Drink,Sale,-9.50,
12/17/2025,12/18/2025,HELLOFRESH,Groceries,Sale,-68.54,
12/14/2025,12/16/2025,STAR OSCO 4587,Groceries,Sale,-133.27,
12/14/2025,12/15/2025,7-ELEVEN 32874,Gas,Sale,-39.07,
12/10/2025,12/11/2025,HELLOFRESH,Groceries,Sale,-54.16,
12/10/2025,12/11/2025,HELLOFRESH,Groceries,Sale,-3.96,
11/30/2025,12/10/2025,Offer:Sunoco,Fees & Adjustments,Adjustment,2.19,
12/09/2025,12/10/2025,Payment Thank You-Mobile,,Payment,2478.61,
12/05/2025,12/07/2025,IRA VOLVO CARS SOUTH SHO,Automotive,Sale,-107.48,
12/06/2025,12/07/2025,ECONOMY HARDWARE #3,Home,Sale,-20.17,
12/03/2025,12/04/2025,USPS PO 2400980127,Shopping,Sale,-34.00,
